% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	1	3	2	1	0	81	0	0	0
0.022	1	1	3	3	1	0	81	0	0	0
0.023	1	1	3	4	1	0	81	0	0	0
0.024	1	1	3	5	1	0	81	0	0	0
0.025	1	1	3	6	1	0	81	0	0	0
0.026	1	1	3	7	1	28	2196	0	0	0
0.027	1	1	3	8	1	28	2196	0	0	0
0.03	1	1	4	1	1	28	2196	0	0	0
0.031	1	1	4	2	1	28	2196	0	0	0
0.037	1	1	4	8	1	28	2196	0	0	0
0.04	1	1	5	1	1	28	2196	0	0	0
0.041	1	1	5	2	1	28	2196	0	0	0
0.047	1	1	5	8	1	28	2196	0	0	0
0.05	1	1	6	1	1	28	2196	0	0	0
0.051	1	1	6	2	1	28	2196	0	0	0
0.057	1	1	6	8	1	28	2196	0	0	0
0.06	1	1	7	1	1	28	2196	0	0	0
0.061	1	1	7	2	1	28	2196	0	0	0
0.067	1	1	7	8	1	28	2196	0	0	0
0.07	1	1	8	1	1	28	2196	0	0	0
0.071	1	1	8	2	1	28	2196	0	0	0
0.077	1	1	8	8	1	28	2196	0	0	0
0.08	1	1	9	1	1	28	2196	0	0	0
0.081	1	1	9	2	1	28	2196	0	0	0
0.087	1	1	9	8	1	28	2196	0	0	0
0.09	1	1	10	1	1	28	2196	0	0	0
0.091	1	1	10	2	1	28	2196	0	0	0
0.097	1	1	10	8	1	28	2196	0	0	0
0.1	1	1	11	1	1	28	2196	0	0	0
0.101	1	1	11	2	1	28	2196	0	0	0
0.107	1	1	11	8	1	28	2196	0	0	0
0.11	1	1	12	1	1	28	2196	0	0	0
0.111	1	1	12	2	1	28	2196	0	0	0
0.112	1	2	12	3	3	28	2196	0	0	0
0.113	1	2	12	4	3	28	2196	0	0	0
0.117	1	1	12	8	1	28	2196	0	0	0
0.12	1	1	13	1	1	28	2196	0	0	0
0.121	1	1	13	2	1	28	2196	0	0	0
0.122	1	2	13	3	3	28	2196	0	0	0
0.123	1	2	13	4	3	28	2196	0	0	0
0.127	1	1	13	8	1	28	2196	0	0	0
0.13	1	1	14	1	1	28	2196	0	0	0
0.131	1	1	14	2	1	28	2196	0	0	0
0.132	1	2	14	3	3	28	2196	0	0	0
0.133	1	2	14	4	3	28	2196	0	0	0
0.137	1	1	14	8	1	28	2196	0	0	0
0.14	1	1	15	1	1	28	2196	0	0	0
0.141	1	1	15	2	1	28	2196	0	0	0
0.142	1	2	15	3	3	28	2196	0	0	0
0.143	1	2	15	4	3	28	2196	0	0	0
0.147	1	1	15	8	1	28	2196	0	0	0
0.15	1	1	16	1	1	28	2196	0	0	0
0.151	1	1	16	2	1	28	2196	0	0	0
0.152	1	2	16	3	3	28	2196	0	0	0
0.153	1	2	16	4	3	28	2196	0	0	0
0.157	1	1	16	8	1	28	2196	0	0	0
0.16	1	1	17	1	1	28	2196	0	0	0
0.161	1	1	17	2	1	28	2196	0	0	0
0.162	1	2	17	3	3	28	2196	0	0	0
0.163	1	2	17	4	3	28	2196	0	0	0
0.167	1	1	17	8	1	28	2196	0	0	0
0.17	1	1	18	1	1	28	2196	0	0	0
0.171	1	1	18	2	1	28	2196	0	0	0
0.172	1	2	18	3	3	28	2196	0	0	0
0.173	1	2	18	4	3	28	2196	0	0	0
0.177	1	1	18	8	1	28	2196	0	0	0
0.18	1	1	19	1	1	28	2196	0	0	0
0.181	1	1	19	2	1	28	2196	0	0	0
0.182	1	2	19	3	3	28	2196	0	0	0
0.183	1	2	19	4	3	28	2196	0	0	0
0.187	1	1	19	8	1	28	2196	0	0	0
0.19	1	1	20	1	1	28	2196	0	0	0
0.191	1	1	20	2	1	28	2196	0	0	0
0.192	1	2	20	3	3	28	2196	0	0	0
0.193	1	2	20	4	3	28	2196	0	0	0
0.197	1	1	20	8	1	28	2196	0	0	0
0.2	1	1	21	1	1	28	2196	0	0	0
0.201	1	1	21	2	1	28	2196	0	0	0
0.202	1	2	21	3	3	28	2196	0	0	0
0.203	1	2	21	4	3	28	2196	0	0	0
0.207	1	1	21	8	1	28	2196	0	0	0
0.21	1	1	22	1	1	28	2196	0	0	0
0.211	1	1	22	2	1	28	2196	0	0	0
0.212	1	2	22	3	3	28	2196	0	0	0
0.213	1	2	22	4	3	28	2196	0	0	0
0.217	1	1	22	8	1	28	2196	0	0	0
0.22	1	1	23	1	1	28	2196	0	0	0
0.221	1	1	23	2	1	28	2196	0	0	0
0.222	1	2	23	3	3	28	2196	0	0	0
0.223	1	2	23	4	3	28	2196	0	0	0
0.227	1	1	23	8	1	28	2196	0	0	0
0.23	1	1	24	1	1	28	2196	0	0	0
0.231	1	1	24	2	1	28	2196	0	0	0
0.232	1	2	24	3	3	28	2196	0	0	0
0.233	1	2	24	4	3	28	2196	0	0	0
0.237	1	1	24	8	1	28	2196	0	0	0
0.24	1	1	25	1	1	28	2196	0	0	0
0.241	1	1	25	2	1	28	2196	0	0	0
0.242	1	2	25	3	3	28	2196	0	0	0
0.243	1	2	25	4	3	28	2196	0	0	0
0.247	1	1	25	8	1	28	2196	0	0	0
0.25	1	1	26	1	1	28	2196	0	0	0
0.251	1	1	26	2	1	28	2196	0	0	0
0.252	1	2	26	3	3	28	2196	0	0	0
0.253	1	2	26	4	3	28	2196	0	0	0
0.257	1	1	26	8	1	28	2196	0	0	0
0.26	1	1	27	1	1	28	2196	0	0	0
0.261	1	1	27	2	1	28	2196	0	0	0
0.262	1	2	27	3	3	28	2196	0	0	0
0.263	1	2	27	4	3	28	2196	0	0	0
0.267	1	1	27	8	1	28	2196	0	0	0
0.27	1	1	28	1	1	28	2196	0	0	0
0.271	1	1	28	2	1	28	2196	0	0	0
0.272	1	2	28	3	3	28	2196	0	0	0
0.273	1	2	28	4	3	28	2196	0	0	0
0.277	1	1	28	8	1	28	2196	0	0	0
0.28	1	1	29	1	1	28	2196	0	0	0
0.281	1	1	29	2	1	28	2196	0	0	0
0.282	1	2	29	3	3	28	2196	0	0	0
0.283	1	2	29	4	3	28	2196	0	0	0
0.287	1	1	29	8	1	28	2196	0	0	0
0.29	1	1	30	1	1	28	2196	0	0	0
0.291	1	1	30	2	1	28	2196	0	0	0
0.292	1	2	30	3	3	28	2196	0	0	0
0.293	1	2	30	4	3	28	2196	0	0	0
0.297	1	1	30	8	1	28	2196	0	0	0
0.3	1	1	31	1	1	28	2196	0	0	0
0.301	1	1	31	2	1	28	2196	0	0	0
0.302	1	2	31	3	3	28	2196	0	0	0
0.303	1	2	31	4	3	28	2196	0	0	0
0.307	1	1	31	8	1	28	2196	0	0	0
0.31	1	1	32	1	1	28	2196	0	0	0
0.311	1	1	32	2	1	28	2196	0	0	0
0.312	1	2	32	3	3	28	2196	0	0	0
0.313	1	2	32	4	3	28	2196	0	0	0
0.317	1	1	32	8	1	28	2196	0	0	0
0.32	1	1	33	1	1	28	2196	0	0	0
0.321	1	1	33	2	1	28	2196	0	0	0
0.322	1	2	33	3	3	28	2196	0	0	0
0.323	1	2	33	4	3	28	2196	0	0	0
0.327	1	1	33	8	1	28	2196	0	0	0
0.33	1	1	34	1	1	28	2196	0	0	0
0.331	1	1	34	2	1	28	2196	0	0	0
0.332	1	2	34	3	3	28	2196	0	0	0
0.333	1	2	34	4	3	28	2196	0	0	0
0.337	1	1	34	8	1	28	2196	0	0	0
0.34	1	1	35	1	1	28	2196	0	0	0
0.341	1	1	35	2	1	28	2196	0	0	0
0.342	1	2	35	3	3	28	2196	0	0	0
0.343	1	2	35	4	3	28	2196	0	0	0
0.347	1	1	35	8	1	28	2196	0	0	0
0.35	1	1	36	1	1	28	2196	0	0	0
0.351	1	1	36	2	1	28	2196	0	0	0
0.352	1	2	36	3	3	28	2196	0	0	0
0.353	1	2	36	4	3	28	2196	0	0	0
0.357	1	1	36	8	1	28	2196	0	0	0
0.36	1	1	37	1	1	28	2196	0	0	0
0.361	1	1	37	2	1	28	2196	0	0	0
0.362	1	2	37	3	3	28	2196	0	0	0
0.363	1	2	37	4	3	28	2196	0	0	0
0.367	1	1	37	8	1	28	2196	0	0	0
0.37	1	1	38	1	1	28	2196	0	0	0
0.371	1	1	38	2	1	28	2196	0	0	0
0.372	1	2	38	3	3	28	2196	0	0	0
0.373	1	2	38	4	3	28	2196	0	0	0
0.377	1	1	38	8	1	28	2196	0	0	0
0.38	1	1	39	1	1	28	2196	0	0	0
0.381	1	1	39	2	1	28	2196	0	0	0
0.382	1	2	39	3	3	28	2196	0	0	0
0.383	1	2	39	4	3	28	2196	0	0	0
0.387	1	1	39	8	1	28	2196	0	0	0
0.39	1	1	40	1	1	28	2196	0	0	0
0.391	1	1	40	2	1	28	2196	0	0	0
0.392	1	2	40	3	3	28	2196	0	0	0
0.393	1	2	40	4	3	28	2196	0	0	0
0.397	1	1	40	8	1	28	2196	0	0	0
0.4	1	1	41	1	1	28	2196	0	0	0
0.401	1	1	41	2	1	28	2196	0	0	0
0.402	1	2	41	3	3	28	2196	0	0	0
0.403	1	2	41	4	3	28	2196	0	0	0
0.407	1	1	41	8	1	28	2196	0	0	0
0.41	1	1	42	1	1	28	2196	0	0	0
0.411	1	1	42	2	1	28	2196	0	0	0
0.412	1	2	42	3	3	28	2196	0	0	0
0.413	1	2	42	4	3	28	2196	0	0	0
0.417	1	1	42	8	1	28	2196	0	0	0
0.42	1	1	43	1	1	28	2196	0	0	0
0.421	1	1	43	2	1	28	2196	0	0	0
0.422	1	2	43	3	3	28	2196	0	0	0
0.423	1	2	43	4	3	28	2196	0	0	0
0.427	1	1	43	8	1	28	2196	0	0	0
0.43	1	1	44	1	1	28	2196	0	0	0
0.431	1	1	44	2	1	28	2196	0	0	0
0.432	1	2	44	3	3	28	2196	0	0	0
0.433	1	2	44	4	3	28	2196	0	0	0
0.437	1	1	44	8	1	28	2196	0	0	0
0.44	1	1	45	1	1	28	2196	0	0	0
0.441	1	1	45	2	1	28	2196	0	0	0
0.442	3	2	45	3	1	0	81	0	0	0
0.443	3	2	45	4	1	0	81	0	0	0
0.444	3	2	45	5	1	0	81	0	0	0
0.445	3	2	45	6	1	0	81	0	0	0
0.446	3	2	45	7	1	28	2196	0	0	0
0.447	1	1	45	8	1	28	2196	0	0	0
0.447	3	2	45	8	1	28	2196	0	0	0
0.448	3	2	45	9	1	28	2196	0	0	0
0.449	3	2	45	10	1	28	2196	0	0	0
0.45	1	1	46	1	1	28	2196	0	0	0
0.45	3	2	46	1	1	28	2196	0	0	0
0.451	1	1	46	2	1	28	2196	0	0	0
0.451	3	2	46	2	1	28	2196	0	0	0
0.452	3	2	46	3	1	28	2196	0	0	0
0.453	3	2	46	4	1	28	2196	0	0	0
0.454	1	1	46	5	1	28	2196	0	0	0
0.454	3	2	46	5	1	28	2196	0	0	0
0.457	1	1	46	8	1	28	2196	0	0	0
0.46	1	1	47	1	1	28	2196	0	0	0
0.461	1	1	47	2	1	28	2196	0	0	0
0.461	3	2	47	2	1	28	2196	0	0	0
0.462	1	1	47	3	1	12	597	0	0	0
0.462	3	2	47	3	1	14	775	0	0	0
0.463	1	1	47	4	1	12	597	0	0	0
0.463	3	2	47	4	1	14	775	0	0	0
0.464	3	2	47	5	1	28	2196	0	0	0
0.465	3	2	47	6	1	28	2196	0	0	0
0.466	3	2	47	7	1	28	2196	0	0	0
0.467	1	1	47	8	1	28	2196	0	0	0
0.467	3	2	47	8	1	28	2196	0	0	0
0.468	3	2	47	9	1	28	2196	0	0	0
0.469	3	2	47	10	1	28	2196	0	0	0
0.47	1	1	48	1	1	12	597	0	0	0
0.47	3	2	48	1	1	14	775	0	0	0
0.471	1	1	48	2	1	12	597	0	0	0
0.471	3	2	48	2	1	14	775	0	0	0
0.472	1	1	48	3	1	28	2196	0	0	0
0.472	3	2	48	3	1	28	2196	0	0	0
0.473	3	2	48	4	1	28	2196	0	0	0
0.477	1	1	48	8	1	28	2196	0	0	0
0.479	1	1	48	10	1	28	2196	0	0	0
0.479	3	2	48	10	1	28	2196	0	0	0
0.48	1	1	49	1	1	12	597	0	0	0
0.481	1	1	49	2	1	12	597	0	0	0
0.482	1	1	49	3	1	28	2196	0	0	0
0.482	3	2	49	3	1	28	2196	0	0	0
0.483	3	2	49	4	1	28	2196	0	0	0
0.486	1	1	49	7	1	28	2196	0	0	0
0.486	3	2	49	7	1	28	2196	0	0	0
0.487	1	1	49	8	1	28	2196	0	0	0
0.489	1	1	49	10	1	28	2196	0	0	0
0.489	3	2	49	10	1	28	2196	0	0	0
0.49	1	1	50	1	1	12	597	0	0	0
0.491	1	1	50	2	1	12	597	0	0	0
0.492	1	1	50	3	1	28	2196	0	0	0
0.492	3	2	50	3	1	28	2196	0	0	0
0.493	3	2	50	4	1	28	2196	0	0	0
0.496	1	1	50	7	1	28	2196	0	0	0
0.496	3	2	50	7	1	28	2196	0	0	0
0.497	1	1	50	8	1	28	2196	0	0	0
0.499	1	1	50	10	1	28	2196	0	0	0
0.499	3	2	50	10	1	28	2196	0	0	0
0.5	1	1	51	1	1	12	597	0	0	0
0.501	1	1	51	2	1	12	597	0	0	0
0.502	1	1	51	3	1	28	2196	0	0	0
0.502	3	2	51	3	1	28	2196	0	0	0
0.503	3	2	51	4	1	28	2196	0	0	0
0.506	1	1	51	7	1	28	2196	0	0	0
0.506	3	2	51	7	1	28	2196	0	0	0
0.507	1	1	51	8	1	28	2196	0	0	0
0.509	1	1	51	10	1	28	2196	0	0	0
0.509	3	2	51	10	1	28	2196	0	0	0
0.51	1	1	52	1	1	12	597	0	0	0
0.511	1	1	52	2	1	12	597	0	0	0
0.512	1	1	52	3	1	28	2196	0	0	0
0.512	3	2	52	3	1	28	2196	0	0	0
0.513	3	2	52	4	1	28	2196	0	0	0
0.516	1	1	52	7	1	28	2196	0	0	0
0.516	3	2	52	7	1	28	2196	0	0	0
0.517	1	1	52	8	1	28	2196	0	0	0
0.519	1	1	52	10	1	28	2196	0	0	0
0.519	3	2	52	10	1	28	2196	0	0	0
0.52	1	1	53	1	1	12	597	0	0	0
0.521	1	1	53	2	1	12	597	0	0	0
0.522	1	1	53	3	1	28	2196	0	0	0
0.522	3	2	53	3	1	28	2196	0	0	0
0.523	3	2	53	4	1	28	2196	0	0	0
0.526	1	1	53	7	1	28	2196	0	0	0
0.526	3	2	53	7	1	28	2196	0	0	0
0.527	1	1	53	8	1	28	2196	0	0	0
0.529	1	1	53	10	1	28	2196	0	0	0
0.529	3	2	53	10	1	28	2196	0	0	0
0.53	1	1	54	1	1	12	597	0	0	0
0.531	1	1	54	2	1	12	597	0	0	0
0.532	1	1	54	3	1	28	2196	0	0	0
0.532	3	2	54	3	1	28	2196	0	0	0
0.533	3	2	54	4	1	28	2196	0	0	0
0.536	1	1	54	7	1	28	2196	0	0	0
0.536	3	2	54	7	1	28	2196	0	0	0
0.537	1	1	54	8	1	28	2196	0	0	0
0.539	1	1	54	10	1	28	2196	0	0	0
0.539	3	2	54	10	1	28	2196	0	0	0
0.54	1	1	55	1	1	12	597	0	0	0
0.541	1	1	55	2	1	12	597	0	0	0
0.542	1	1	55	3	1	28	2196	0	0	0
0.542	3	2	55	3	1	28	2196	0	0	0
0.543	3	2	55	4	1	28	2196	0	0	0
0.546	1	1	55	7	1	28	2196	0	0	0
0.546	3	2	55	7	1	28	2196	0	0	0
0.547	1	1	55	8	1	28	2196	0	0	0
0.549	1	1	55	10	1	28	2196	0	0	0
0.549	3	2	55	10	1	28	2196	0	0	0
0.55	1	1	56	1	1	12	597	0	0	0
0.551	1	1	56	2	1	12	597	0	0	0
0.552	1	1	56	3	1	28	2196	0	0	0
0.552	3	2	56	3	1	28	2196	0	0	0
0.553	3	2	56	4	1	28	2196	0	0	0
0.556	1	1	56	7	1	28	2196	0	0	0
0.556	3	2	56	7	1	28	2196	0	0	0
0.557	1	1	56	8	1	28	2196	0	0	0
0.559	1	1	56	10	1	28	2196	0	0	0
0.559	3	2	56	10	1	28	2196	0	0	0
0.56	1	1	57	1	1	12	597	0	0	0
0.561	1	1	57	2	1	12	597	0	0	0
0.562	1	1	57	3	1	28	2196	0	0	0
0.562	3	2	57	3	1	28	2196	0	0	0
0.563	3	2	57	4	1	28	2196	0	0	0
0.566	1	1	57	7	1	28	2196	0	0	0
0.566	3	2	57	7	1	28	2196	0	0	0
0.567	1	1	57	8	1	28	2196	0	0	0
0.569	1	1	57	10	1	28	2196	0	0	0
0.569	3	2	57	10	1	28	2196	0	0	0
0.57	1	1	58	1	1	12	597	0	0	0
0.571	1	1	58	2	1	12	597	0	0	0
0.572	1	1	58	3	1	28	2196	0	0	0
0.572	3	2	58	3	1	28	2196	0	0	0
0.573	3	2	58	4	1	28	2196	0	0	0
0.576	1	1	58	7	1	28	2196	0	0	0
0.576	3	2	58	7	1	28	2196	0	0	0
0.577	1	1	58	8	1	28	2196	0	0	0
0.579	1	1	58	10	1	28	2196	0	0	0
0.579	3	2	58	10	1	28	2196	0	0	0
0.58	1	1	59	1	1	12	597	0	0	0
0.581	1	1	59	2	1	12	597	0	0	0
0.582	1	1	59	3	1	28	2196	0	0	0
0.582	3	2	59	3	1	28	2196	0	0	0
0.583	3	2	59	4	1	28	2196	0	0	0
0.586	1	1	59	7	1	28	2196	0	0	0
0.586	3	2	59	7	1	28	2196	0	0	0
0.587	1	1	59	8	1	28	2196	0	0	0
0.589	1	1	59	10	1	28	2196	0	0	0
0.589	3	2	59	10	1	28	2196	0	0	0
0.59	1	1	60	1	1	12	597	0	0	0
0.591	1	1	60	2	1	12	597	0	0	0
0.592	1	1	60	3	1	28	2196	0	0	0
0.592	3	2	60	3	1	28	2196	0	0	0
0.593	3	2	60	4	1	28	2196	0	0	0
0.596	1	1	60	7	1	28	2196	0	0	0
0.596	3	2	60	7	1	28	2196	0	0	0
0.597	1	1	60	8	1	28	2196	0	0	0
0.599	1	1	60	10	1	28	2196	0	0	0
0.599	3	2	60	10	1	28	2196	0	0	0
0.6	1	1	61	1	1	12	597	0	0	0
0.601	1	1	61	2	1	12	597	0	0	0
0.602	1	1	61	3	1	28	2196	0	0	0
0.602	3	2	61	3	1	28	2196	0	0	0
0.603	3	2	61	4	1	28	2196	0	0	0
0.606	1	1	61	7	1	28	2196	0	0	0
0.606	3	2	61	7	1	28	2196	0	0	0
0.607	1	1	61	8	1	28	2196	0	0	0
0.609	1	1	61	10	1	28	2196	0	0	0
0.609	3	2	61	10	1	28	2196	0	0	0
0.61	1	1	62	1	1	12	597	0	0	0
0.611	1	1	62	2	1	12	597	0	0	0
0.612	1	1	62	3	1	28	2196	0	0	0
0.612	3	2	62	3	1	28	2196	0	0	0
0.613	3	2	62	4	1	28	2196	0	0	0
0.616	1	1	62	7	1	28	2196	0	0	0
0.616	3	2	62	7	1	28	2196	0	0	0
0.617	1	1	62	8	1	28	2196	0	0	0
0.619	1	1	62	10	1	28	2196	0	0	0
0.619	3	2	62	10	1	28	2196	0	0	0
0.62	1	1	63	1	1	12	597	0	0	0
0.621	1	1	63	2	1	12	597	0	0	0
0.622	1	1	63	3	1	28	2196	0	0	0
0.622	3	2	63	3	1	28	2196	0	0	0
0.623	3	2	63	4	1	28	2196	0	0	0
0.626	1	1	63	7	1	28	2196	0	0	0
0.626	3	2	63	7	1	28	2196	0	0	0
0.627	1	1	63	8	1	28	2196	0	0	0
0.629	1	1	63	10	1	28	2196	0	0	0
0.629	3	2	63	10	1	28	2196	0	0	0
0.63	1	1	64	1	1	12	597	0	0	0
0.631	1	1	64	2	1	12	597	0	0	0
0.632	1	1	64	3	1	28	2196	0	0	0
0.632	3	2	64	3	1	28	2196	0	0	0
0.633	3	2	64	4	1	28	2196	0	0	0
0.636	1	1	64	7	1	28	2196	0	0	0
0.636	3	2	64	7	1	28	2196	0	0	0
0.637	1	1	64	8	1	28	2196	0	0	0
0.639	1	1	64	10	1	28	2196	0	0	0
0.639	3	2	64	10	1	28	2196	0	0	0
0.64	1	1	65	1	1	12	597	0	0	0
0.641	1	1	65	2	1	12	597	0	0	0
0.642	1	1	65	3	1	28	2196	0	0	0
0.642	3	2	65	3	1	28	2196	0	0	0
0.643	3	2	65	4	1	28	2196	0	0	0
0.646	1	1	65	7	1	28	2196	0	0	0
0.646	3	2	65	7	1	28	2196	0	0	0
0.647	1	1	65	8	1	28	2196	0	0	0
0.649	1	1	65	10	1	28	2196	0	0	0
0.649	3	2	65	10	1	28	2196	0	0	0
0.65	1	1	66	1	1	12	597	0	0	0
0.651	1	1	66	2	1	12	597	0	0	0
0.652	1	1	66	3	1	28	2196	0	0	0
0.652	3	2	66	3	1	28	2196	0	0	0
0.653	3	2	66	4	1	28	2196	0	0	0
0.656	1	1	66	7	1	28	2196	0	0	0
0.656	3	2	66	7	1	28	2196	0	0	0
0.657	1	1	66	8	1	28	2196	0	0	0
0.659	1	1	66	10	1	28	2196	0	0	0
0.659	3	2	66	10	1	28	2196	0	0	0
0.66	1	1	67	1	1	12	597	0	0	0
0.661	1	1	67	2	1	12	597	0	0	0
0.662	1	1	67	3	1	28	2196	0	0	0
0.662	3	2	67	3	1	28	2196	0	0	0
0.663	3	2	67	4	1	28	2196	0	0	0
0.666	1	1	67	7	1	28	2196	0	0	0
0.666	3	2	67	7	1	28	2196	0	0	0
0.667	1	1	67	8	1	28	2196	0	0	0
0.669	1	1	67	10	1	28	2196	0	0	0
0.669	3	2	67	10	1	28	2196	0	0	0
0.67	1	1	68	1	1	12	597	0	0	0
0.671	1	1	68	2	1	12	597	0	0	0
0.672	1	1	68	3	1	28	2196	0	0	0
0.672	3	2	68	3	1	28	2196	0	0	0
0.673	3	2	68	4	1	28	2196	0	0	0
0.676	1	1	68	7	1	28	2196	0	0	0
0.676	3	2	68	7	1	28	2196	0	0	0
0.677	1	1	68	8	1	28	2196	0	0	0
0.679	1	1	68	10	1	28	2196	0	0	0
0.679	3	2	68	10	1	28	2196	0	0	0
0.68	1	1	69	1	1	12	597	0	0	0
0.681	1	1	69	2	1	12	597	0	0	0
0.682	1	1	69	3	1	28	2196	0	0	0
0.682	3	2	69	3	1	28	2196	0	0	0
0.683	3	2	69	4	1	28	2196	0	0	0
0.686	1	1	69	7	1	28	2196	0	0	0
0.686	3	2	69	7	1	28	2196	0	0	0
0.687	1	1	69	8	1	28	2196	0	0	0
0.689	1	1	69	10	1	28	2196	0	0	0
0.689	3	2	69	10	1	28	2196	0	0	0
0.69	1	1	70	1	1	12	597	0	0	0
0.691	1	1	70	2	1	12	597	0	0	0
0.692	1	1	70	3	1	28	2196	0	0	0
0.692	3	2	70	3	1	28	2196	0	0	0
0.693	3	2	70	4	1	28	2196	0	0	0
0.696	1	1	70	7	1	28	2196	0	0	0
0.696	3	2	70	7	1	28	2196	0	0	0
0.697	1	1	70	8	1	28	2196	0	0	0
0.699	1	1	70	10	1	28	2196	0	0	0
0.699	3	2	70	10	1	28	2196	0	0	0
0.7	1	1	71	1	1	12	597	0	0	0
0.701	1	1	71	2	1	12	597	0	0	0
0.702	1	1	71	3	1	28	2196	0	0	0
0.702	3	2	71	3	1	28	2196	0	0	0
0.703	3	2	71	4	1	28	2196	0	0	0
0.706	1	1	71	7	1	28	2196	0	0	0
0.706	3	2	71	7	1	28	2196	0	0	0
0.707	1	1	71	8	1	28	2196	0	0	0
0.709	1	1	71	10	1	28	2196	0	0	0
0.709	3	2	71	10	1	28	2196	0	0	0
0.71	1	1	72	1	1	12	597	0	0	0
0.711	1	1	72	2	1	12	597	0	0	0
0.712	1	1	72	3	1	28	2196	0	0	0
0.712	3	2	72	3	1	28	2196	0	0	0
0.713	3	2	72	4	1	28	2196	0	0	0
0.716	1	1	72	7	1	28	2196	0	0	0
0.716	3	2	72	7	1	28	2196	0	0	0
0.717	1	1	72	8	1	28	2196	0	0	0
0.719	1	1	72	10	1	28	2196	0	0	0
0.719	3	2	72	10	1	28	2196	0	0	0
0.72	1	1	73	1	1	12	597	0	0	0
0.721	1	1	73	2	1	12	597	0	0	0
0.722	1	1	73	3	1	28	2196	0	0	0
0.722	3	2	73	3	1	28	2196	0	0	0
0.723	3	2	73	4	1	28	2196	0	0	0
0.726	1	1	73	7	1	28	2196	0	0	0
0.726	3	2	73	7	1	28	2196	0	0	0
0.727	1	1	73	8	1	28	2196	0	0	0
0.729	1	1	73	10	1	28	2196	0	0	0
0.729	3	2	73	10	1	28	2196	0	0	0
0.73	1	1	74	1	1	12	597	0	0	0
0.731	1	1	74	2	1	12	597	0	0	0
0.732	1	1	74	3	1	28	2196	0	0	0
0.732	3	2	74	3	1	28	2196	0	0	0
0.733	3	2	74	4	1	28	2196	0	0	0
0.736	1	1	74	7	1	28	2196	0	0	0
0.736	3	2	74	7	1	28	2196	0	0	0
0.737	1	1	74	8	1	28	2196	0	0	0
0.739	1	1	74	10	1	28	2196	0	0	0
0.739	3	2	74	10	1	28	2196	0	0	0
0.74	1	1	75	1	1	12	597	0	0	0
0.741	1	1	75	2	1	12	597	0	0	0
0.742	1	1	75	3	1	28	2196	0	0	0
0.742	3	2	75	3	1	28	2196	0	0	0
0.743	3	2	75	4	1	28	2196	0	0	0
0.746	1	1	75	7	1	28	2196	0	0	0
0.746	3	2	75	7	1	28	2196	0	0	0
0.747	1	1	75	8	1	28	2196	0	0	0
0.749	1	1	75	10	1	28	2196	0	0	0
0.749	3	2	75	10	1	28	2196	0	0	0
0.75	1	1	76	1	1	12	597	0	0	0
0.751	1	1	76	2	1	12	597	0	0	0
0.752	1	1	76	3	1	28	2196	0	0	0
0.752	3	2	76	3	1	28	2196	0	0	0
0.753	3	2	76	4	1	28	2196	0	0	0
0.756	1	1	76	7	1	28	2196	0	0	0
0.756	3	2	76	7	1	28	2196	0	0	0
0.757	1	1	76	8	1	28	2196	0	0	0
0.759	1	1	76	10	1	28	2196	0	0	0
0.759	3	2	76	10	1	28	2196	0	0	0
0.76	1	1	77	1	1	12	597	0	0	0
0.761	1	1	77	2	1	12	597	0	0	0
0.762	1	1	77	3	1	28	2196	0	0	0
0.762	3	2	77	3	1	28	2196	0	0	0
0.763	3	2	77	4	1	28	2196	0	0	0
0.766	1	1	77	7	1	28	2196	0	0	0
0.766	3	2	77	7	1	28	2196	0	0	0
0.767	1	1	77	8	1	28	2196	0	0	0
0.769	1	1	77	10	1	28	2196	0	0	0
0.769	3	2	77	10	1	28	2196	0	0	0
0.77	1	1	78	1	1	12	597	0	0	0
0.771	1	1	78	2	1	12	597	0	0	0
0.772	1	1	78	3	1	28	2196	0	0	0
0.772	3	2	78	3	1	28	2196	0	0	0
0.773	3	2	78	4	1	28	2196	0	0	0
0.776	1	1	78	7	1	28	2196	0	0	0
0.776	3	2	78	7	1	28	2196	0	0	0
0.777	1	1	78	8	1	28	2196	0	0	0
0.779	1	1	78	10	1	28	2196	0	0	0
0.779	3	2	78	10	1	28	2196	0	0	0
0.78	1	1	79	1	1	12	597	0	0	0
0.781	1	1	79	2	1	12	597	0	0	0
0.782	1	1	79	3	1	28	2196	0	0	0
0.782	3	2	79	3	1	28	2196	0	0	0
0.783	3	2	79	4	1	28	2196	0	0	0
0.786	1	1	79	7	1	28	2196	0	0	0
0.786	3	2	79	7	1	28	2196	0	0	0
0.787	1	1	79	8	1	28	2196	0	0	0
0.789	1	1	79	10	1	28	2196	0	0	0
0.789	3	2	79	10	1	28	2196	0	0	0
0.79	1	1	80	1	1	12	597	0	0	0
0.791	1	1	80	2	1	12	597	0	0	0
0.792	1	1	80	3	1	28	2196	0	0	0
0.792	3	2	80	3	1	28	2196	0	0	0
0.793	3	2	80	4	1	28	2196	0	0	0
0.796	1	1	80	7	1	28	2196	0	0	0
0.796	3	2	80	7	1	28	2196	0	0	0
0.797	1	1	80	8	1	28	2196	0	0	0
0.799	1	1	80	10	1	28	2196	0	0	0
0.799	3	2	80	10	1	28	2196	0	0	0
0.8	1	1	81	1	1	12	597	0	0	0
